year,stage,home_team,away_team,home_score,away_score,result,total_goals,home_elo,away_elo,elo_diff,home_fifa_rank,away_fifa_rank,rank_diff,home_form,away_form,form_diff,home_avg_scored,home_avg_conceded,away_avg_scored,away_avg_conceded,home_h2h_winrate,away_h2h_winrate,home_wc_exp,away_wc_exp,exp_diff,home_is_host,away_is_host,home_rest_days,away_rest_days
1950,First round,Spain,England,1,0,2,1,1468.0,1500.0,-32.0,8,3,-5,0.2333,0.5,-0.2667,1.4,2.6,1.2,1.2,0.5,0.5,16,16,0,0,0,0.0,14.0
1950,First round,USA,England,1,0,2,1,1479.0,1478.2,0.8,13,3,-10,0.2,0.0,0.2,2.0,3.6,0.0,1.0,0.5,0.5,11,16,-5,1,0,0.0,0.0
1950,First round,Spain,Chile,2,0,2,2,1489.8,1537.7,-47.9,8,60,52,0.4524,0.9,-0.4476,1.333,2.167,2.5,1.25,0.5,0.5,16,9,7,0,0,0.0,0.0
1950,First round,Spain,USA,3,1,2,4,1512.6,1498.9,13.6,8,13,5,0.5893,0.4286,0.1607,1.429,1.857,1.833,3.0,0.5,0.5,16,11,5,0,1,0.0,0.0
1950,First round,England,Chile,2,0,2,2,1458.2,1515.0,-56.8,3,60,57,0.0,0.6,-0.6,0.0,1.0,2.0,1.4,0.5,0.5,16,9,7,0,0,0.0,0.0
1950,First round,Switzerland,Mexico,2,1,2,3,1502.8,1443.5,59.3,17,15,-2,0.4333,0.0,0.4333,2.0,2.0,1.333,4.333,0.5,0.5,12,17,-5,0,1,4403.0,7288.0
1950,First round,Brazil,Serbia,2,0,2,2,1530.8,1519.9,10.9,4,60,56,0.6182,0.5,0.1182,3.1,1.8,2.333,2.333,0.0,1.0,22,12,10,0,0,0.0,7279.0
1950,First round,Serbia,Mexico,4,1,2,5,1500.5,1426.9,73.6,60,15,-45,0.3,0.0,0.3,1.75,2.25,1.25,3.75,0.5,0.5,12,17,-5,0,1,0.0,0.0
1950,First round,Brazil,Switzerland,2,2,1,4,1550.2,1519.4,30.7,4,17,13,0.7,0.5952,0.1048,3.2,1.6,2.0,1.833,0.5,0.5,22,12,10,0,0,0.0,0.0
1950,First round,Serbia,Switzerland,3,0,2,3,1516.3,1521.2,-4.9,60,17,-43,0.5333,0.5714,-0.0381,2.2,2.0,2.0,1.857,0.5,0.5,12,12,0,0,0,0.0,0.0
1950,First round,Brazil,Mexico,4,0,2,4,1548.4,1411.0,137.4,4,15,11,0.6727,0.0,0.6727,3.0,1.8,1.2,3.8,0.5,0.5,22,17,5,0,1,0.0,0.0
